date,ticker,close,volume
2016-03-02,MMM,159.41,1807199.0
2016-03-03,MMM,159.38,1926039.0
2016-03-04,MMM,160.07,1766328.0
2016-03-07,MMM,160.57,2012810.0
2016-03-08,MMM,160.2,2010709.0
2016-03-09,MMM,160.09,1883182.0
2016-03-10,MMM,159.89,1875660.0
2016-03-11,MMM,161.88,1697170.0
2016-03-14,MMM,161.81,1747318.0
2016-03-15,MMM,162.41,1828242.0
2016-03-16,MMM,162.89,1927690.0
2016-03-17,MMM,163.75,2790076.0
2016-03-18,MMM,165.33,5852042.0
2016-03-21,MMM,164.84,2095053.0
2016-03-22,MMM,164.91,2146288.0
2016-03-23,MMM,164.27,2304955.0
2016-03-24,MMM,164.46,1868669.0
2016-03-28,MMM,166.28,2336768.0
2016-03-29,MMM,164.39,2525004.0
2016-03-30,MMM,166.75,2195874.0
2016-03-31,MMM,166.63,1777204.0
2016-04-01,MMM,167.53,2011569.0
2016-04-04,MMM,166.4,2022797.0
2016-04-05,MMM,165.81,1617437.0
2016-04-06,MMM,166.81,2092183.0
2016-04-07,MMM,167.16,2728068.0
2016-04-08,MMM,166.63,1729301.0
2016-04-11,MMM,166.59,1521065.0
2016-04-12,MMM,168.03,1636492.0
2016-04-13,MMM,168.59,1545911.0
2016-04-14,MMM,168.16,1213407.0
2016-04-15,MMM,168.78,1417007.0
2016-04-18,MMM,169.55,1146593.0
2016-04-19,MMM,169.65,1849420.0
2016-04-20,MMM,168.94,1439679.0
2016-04-21,MMM,168.66,1634976.0
2016-04-22,MMM,168.66,1802263.0
2016-04-25,MMM,168.38,2378321.0
2016-04-26,MMM,166.18,3191913.0
2016-04-27,MMM,167.76,2227723.0
2016-04-28,MMM,167.0,1654554.0
2016-04-29,MMM,167.38,1961760.0
2016-05-02,MMM,168.34,1700272.0
2016-05-03,MMM,167.97,1922150.0
2016-05-04,MMM,167.16,2118061.0
2016-05-05,MMM,167.77,1680203.0
2016-05-06,MMM,168.89,1630184.0
2016-05-09,MMM,168.52,1301262.0
2016-05-10,MMM,170.26,1733137.0
2016-05-11,MMM,169.77,1786405.0
2016-05-12,MMM,170.15,1741928.0
2016-05-13,MMM,168.32,1875893.0
2016-05-16,MMM,169.55,1826217.0
2016-05-17,MMM,167.81,2126015.0
2016-05-18,MMM,166.82,1624389.0
2016-05-19,MMM,165.11,1657333.0
2016-05-20,MMM,165.01,1746994.0
2016-05-23,MMM,166.11,1653531.0
2016-05-24,MMM,168.63,1627511.0
2016-05-25,MMM,169.99,1860038.0
2016-05-26,MMM,168.91,1563894.0
2016-05-27,MMM,168.89,1099137.0
2016-05-31,MMM,168.32,2169597.0
2016-06-01,MMM,168.69,1228187.0
2016-06-02,MMM,168.04,1980584.0
2016-06-03,MMM,168.38,1433491.0
2016-06-06,MMM,170.08,1510724.0
2016-06-07,MMM,170.91,1723101.0
2016-06-08,MMM,171.42,1684867.0
2016-06-09,MMM,170.13,2208774.0
2016-06-10,MMM,168.56,2123352.0
2016-06-13,MMM,167.13,2129881.0
2016-06-14,MMM,167.61,2021662.0
2016-06-15,MMM,167.8,1694233.0
2016-06-16,MMM,169.93,2632136.0
2016-06-17,MMM,168.94,3447960.0
2016-06-20,MMM,171.23,2162785.0
2016-06-21,MMM,171.37,1889260.0
2016-06-22,MMM,171.23,1369603.0
2016-06-23,MMM,174.11,2021545.0
2016-06-24,MMM,169.12,4567121.0
2016-06-27,MMM,167.19,2556446.0
2016-06-28,MMM,169.59,2237274.0
2016-06-29,MMM,171.52,1894081.0
2016-06-30,MMM,175.12,2449398.0
2016-07-01,MMM,175.54,1930869.0
2016-07-05,MMM,175.63,2353554.0
2016-07-06,MMM,175.16,2383261.0
2016-07-07,MMM,174.87,1842372.0
2016-07-08,MMM,177.12,2726594.0
2016-07-11,MMM,178.01,1659485.0
2016-07-12,MMM,179.16,1922623.0
2016-07-13,MMM,179.21,1491437.0
2016-07-14,MMM,180.9,1904057.0
2016-07-15,MMM,181.4,2475143.0
2016-07-18,MMM,181.11,1224381.0
2016-07-19,MMM,181.24,1051302.0
2016-07-20,MMM,181.42,1413320.0
2016-07-21,MMM,180.26,1939921.0
2016-07-22,MMM,180.44,1205590.0
2016-07-25,MMM,179.63,1936896.0
2016-07-26,MMM,177.66,3421578.0
2016-07-27,MMM,178.27,2359679.0
2016-07-28,MMM,177.98,1799475.0
2016-07-29,MMM,178.36,1621915.0
2016-08-01,MMM,178.29,1598351.0
2016-08-02,MMM,178.36,2115083.0
2016-08-03,MMM,178.38,1419250.0
2016-08-04,MMM,177.81,1072341.0
2016-08-05,MMM,178.57,1799474.0
2016-08-08,MMM,178.58,1327693.0
2016-08-09,MMM,178.39,1098851.0
2016-08-10,MMM,178.82,1226260.0
2016-08-11,MMM,181.0,2043437.0
2016-08-12,MMM,180.27,1232856.0
2016-08-15,MMM,180.56,1268247.0
2016-08-16,MMM,179.25,1363554.0
2016-08-17,MMM,179.87,1358528.0
2016-08-18,MMM,179.18,1088677.0
2016-08-19,MMM,179.61,1305289.0
2016-08-22,MMM,179.07,1336377.0
2016-08-23,MMM,179.77,1195825.0
2016-08-24,MMM,179.41,1137075.0
2016-08-25,MMM,179.58,840199.0
2016-08-26,MMM,179.41,1324652.0
2016-08-29,MMM,180.5,1051806.0
2016-08-30,MMM,180.15,1039808.0
2016-08-31,MMM,179.24,1635998.0
2016-09-01,MMM,179.98,1095268.0
2016-09-02,MMM,180.81,1319039.0
2016-09-06,MMM,180.46,1328106.0
2016-09-07,MMM,179.75,1133540.0
2016-09-08,MMM,180.1,1423980.0
2016-09-09,MMM,175.64,2083300.0
2016-09-12,MMM,178.1,1913291.0
2016-09-13,MMM,176.07,1864569.0
2016-09-14,MMM,175.62,1864794.0
2016-09-15,MMM,176.59,1683788.0
2016-09-16,MMM,175.06,3358842.0
2016-09-19,MMM,176.72,1754929.0
2016-09-20,MMM,177.6,1598552.0
2016-09-21,MMM,179.59,1759977.0
2016-09-22,MMM,179.85,1849004.0
2016-09-23,MMM,177.39,1910978.0
2016-09-26,MMM,175.95,1820997.0
2016-09-27,MMM,176.3,2433570.0
2016-09-28,MMM,177.59,1693951.0
2016-09-29,MMM,175.37,1853613.0
2016-09-30,MMM,176.23,2419430.0
2016-10-03,MMM,175.04,1785551.0
2016-10-04,MMM,171.68,3166931.0
2016-10-05,MMM,172.39,2305546.0
2016-10-06,MMM,171.64,2273400.0
2016-10-07,MMM,171.33,2249588.0
2016-10-10,MMM,171.14,1936639.0
2016-10-11,MMM,169.68,1998576.0
2016-10-12,MMM,169.72,1554146.0
2016-10-13,MMM,170.02,1919715.0
2016-10-14,MMM,170.33,1512366.0
2016-10-17,MMM,170.21,1229184.0
2016-10-18,MMM,169.95,1185565.0
2016-10-19,MMM,169.91,1164213.0
2016-10-20,MMM,169.86,1210539.0
2016-10-21,MMM,169.5,2013555.0
2016-10-24,MMM,171.27,2668093.0
2016-10-25,MMM,166.23,3826056.0
2016-10-26,MMM,166.51,2174852.0
2016-10-27,MMM,165.76,1486376.0
2016-10-28,MMM,165.77,1934281.0
2016-10-31,MMM,165.3,2289132.0
2016-11-01,MMM,164.25,2455784.0
2016-11-02,MMM,165.73,2233414.0
2016-11-03,MMM,166.83,2504984.0
2016-11-04,MMM,166.48,1927527.0
2016-11-07,MMM,169.74,1930929.0
2016-11-08,MMM,171.03,1956187.0
2016-11-09,MMM,170.39,3659314.0
2016-11-10,MMM,174.28,3280034.0
2016-11-11,MMM,175.08,1868162.0
2016-11-14,MMM,172.91,2607032.0
2016-11-15,MMM,174.24,2177504.0
2016-11-16,MMM,172.01,2022623.0
2016-11-17,MMM,172.77,1783744.0
2016-11-18,MMM,172.96,1711068.0
2016-11-21,MMM,171.52,1993936.0
2016-11-22,MMM,171.91,1553303.0
2016-11-23,MMM,172.25,1477958.0
2016-11-25,MMM,173.49,945845.0
2016-11-28,MMM,172.5,1677696.0
2016-11-29,MMM,172.77,1483189.0
2016-11-30,MMM,171.74,2595787.0
2016-12-01,MMM,172.63,1756890.0
2016-12-02,MMM,172.43,1871524.0
2016-12-05,MMM,171.62,2181327.0
2016-12-06,MMM,171.8,1467548.0
2016-12-07,MMM,176.05,3164316.0
2016-12-08,MMM,175.88,1788382.0
2016-12-09,MMM,178.49,2650644.0
2016-12-12,MMM,179.64,2295986.0
2016-12-13,MMM,178.83,2708604.0
2016-12-14,MMM,176.6,2234172.0
2016-12-15,MMM,176.02,2055610.0
2016-12-16,MMM,177.45,3889730.0
2016-12-19,MMM,178.16,1381974.0
2016-12-20,MMM,178.65,1378216.0
2016-12-21,MMM,178.43,1556047.0
2016-12-22,MMM,179.2,1225630.0
2016-12-23,MMM,178.75,731194.0
2016-12-27,MMM,178.92,651000.0
2016-12-28,MMM,178.08,1287918.0
2016-12-29,MMM,178.41,1101983.0
2016-12-30,MMM,178.57,1594245.0
2016-01-04,MO,57.39,6800552.0
2016-01-05,MO,58.55,6407647.0
2016-01-06,MO,59.17,7686446.0
2016-01-07,MO,58.14,7313438.0
2016-01-08,MO,58.24,7059460.0
2016-01-11,MO,59.46,8228719.0
2016-01-12,MO,59.38,5628176.0
2016-01-13,MO,57.78,7714613.0
2016-01-14,MO,58.22,6738711.0
2016-01-15,MO,57.2,9785814.0
2016-01-19,MO,58.4,7911477.0
2016-01-20,MO,57.22,9562879.0
2016-01-21,MO,57.45,6151451.0
2016-01-22,MO,58.28,6449261.0
2016-01-25,MO,58.4,6677752.0
2016-01-26,MO,58.96,8360837.0
2016-01-27,MO,58.96,8296861.0
2016-01-28,MO,59.63,7445913.0
2016-01-29,MO,61.11,10238160.0
2016-02-01,MO,60.94,6017570.0
2016-02-02,MO,60.49,6734687.0
2016-02-03,MO,59.84,7979567.0
2016-02-04,MO,59.48,6364665.0
2016-02-05,MO,59.8,7506216.0
2016-02-08,MO,60.12,7922533.0
2016-02-09,MO,60.45,7670308.0
2016-02-10,MO,60.05,6137484.0
2016-02-11,MO,59.99,5865865.0
2016-02-12,MO,59.97,6719716.0
2016-02-16,MO,60.3,6590793.0
2016-02-17,MO,60.4,5311747.0
2016-02-18,MO,60.62,5524670.0
2016-02-19,MO,60.56,4982327.0
2016-02-22,MO,61.21,4590489.0
2016-02-23,MO,61.52,4684214.0
2016-02-24,MO,61.36,4186882.0
2016-02-25,MO,62.38,5207188.0
2016-02-26,MO,61.54,5543565.0
2016-02-29,MO,61.57,6261506.0
2016-03-01,MO,61.73,7102049.0
2016-03-02,MO,61.5,5623093.0
2016-03-03,MO,62.23,5118981.0
2016-03-04,MO,62.98,5930922.0
2016-03-07,MO,61.81,9972846.0
2016-03-08,MO,62.3,5820930.0
2016-03-09,MO,62.81,5932279.0
