,1. open,2. high,3. low,4. close,5. volume 
2022-02-11 13:23:00,171.48,171.58,171.46,171.4829,88069.0
2022-02-11 13:24:00,171.49,171.52,171.44,171.5133,57218.0
2022-02-11 13:25:00,171.515,171.5314,171.42,171.49,78694.0
2022-02-11 13:26:00,171.49,171.511,171.42,171.44,82777.0
2022-02-11 13:27:00,171.43,171.5,171.27,171.29,125507.0
2022-02-11 13:28:00,171.3,171.335,171.2,171.22,131080.0
2022-02-11 13:29:00,171.22,171.23,171.11,171.2052,159867.0
2022-02-11 13:30:00,171.2,171.22,171.02,171.025,158878.0
2022-02-11 13:31:00,171.03,171.0495,170.78,170.83,315836.0
2022-02-11 13:32:00,170.83,170.85,170.65,170.76,193304.0
2022-02-11 13:33:00,170.7524,170.78,170.26,170.4126,374778.0
2022-02-11 13:34:00,170.42,170.45,170.3,170.4088,210271.0
2022-02-11 13:35:00,170.42,170.59,170.36,170.51,203745.0
2022-02-11 13:36:00,170.5,170.58,170.32,170.49,265687.0
2022-02-11 13:37:00,170.48,170.53,170.3801,170.49,171994.0
2022-02-11 13:38:00,170.49,170.5,170.07,170.0999,228647.0
2022-02-11 13:39:00,170.095,170.11,169.88,169.95,514889.0
2022-02-11 13:40:00,169.9381,170.05,169.62,169.62,449398.0
2022-02-11 13:41:00,169.63,169.99,169.5,169.795,451017.0
2022-02-11 13:42:00,169.78,170.03,169.63,169.92,280550.0
2022-02-11 13:43:00,169.92,170.01,169.64,169.64,289804.0
2022-02-11 13:44:00,169.6499,169.96,169.63,169.78,190776.0
2022-02-11 13:45:00,169.77,170.03,169.68,169.74,216155.0
2022-02-11 13:46:00,169.74,169.74,169.25,169.28,388507.0
2022-02-11 13:47:00,169.28,169.41,168.89,169.08,431516.0
2022-02-11 13:48:00,169.06,169.78,169.06,169.6,569283.0
2022-02-11 13:49:00,169.63,169.82,169.51,169.54,279132.0
2022-02-11 13:50:00,169.55,169.64,169.27,169.64,292284.0
2022-02-11 13:51:00,169.63,169.67,169.2246,169.35,222329.0
2022-02-11 13:52:00,169.36,169.595,169.27,169.51,208763.0
2022-02-11 13:53:00,169.5,169.81,169.3748,169.58,263762.0
2022-02-11 13:54:00,169.58,169.75,169.47,169.65,207392.0
2022-02-11 13:55:00,169.66,169.74,169.54,169.69,168555.0
2022-02-11 13:56:00,169.68,169.705,169.33,169.38,250963.0
2022-02-11 13:57:00,169.37,169.44,169.14,169.27,230711.0
2022-02-11 13:58:00,169.28,169.48,169.1,169.27,219927.0
2022-02-11 13:59:00,169.266,169.46,169.17,169.271,144362.0
2022-02-11 14:00:00,169.28,169.39,169.13,169.15,166187.0
2022-02-11 14:01:00,169.14,169.41,169.05,169.301,224035.0
2022-02-11 14:02:00,169.32,169.58,168.93,169.05,328239.0
2022-02-11 14:03:00,169.05,169.06,168.51,168.53,388179.0
